===============================================================================
Id,TSLA,len,datetime,open,high,low,close,volume,openinterest,adjclose,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,TSLA,1,2019-01-02 23:59:59.999989,306.1,315.13,298.8,310.12,11658600.0,0.0,310.119995,TestStrategy,1,737061.9999999999,Broker,1,1000.0,1000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,TSLA,2,2019-01-03 23:59:59.999989,307.0,309.4,297.38,300.36,6965200.0,0.0,300.359985,TestStrategy,2,737062.9999999999,Broker,2,1000.0,1000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,TSLA,3,2019-01-04 23:59:59.999989,306.0,318.0,302.73,317.69,7394100.0,0.0,317.690002,TestStrategy,3,737063.9999999999,Broker,3,1000.0,1000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,TSLA,4,2019-01-07 23:59:59.999989,321.72,336.74,317.75,334.96,7551200.0,0.0,334.959991,TestStrategy,4,737066.9999999999,Broker,4,1000.0,1000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,TSLA,5,2019-01-08 23:59:59.999989,341.96,344.01,327.02,335.35,7008500.0,0.0,335.350006,TestStrategy,5,737067.9999999999,Broker,5,1000.0,1000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,TSLA,6,2019-01-09 23:59:59.999989,335.5,343.5,331.47,338.53,5432900.0,0.0,338.529999,TestStrategy,6,737068.9999999999,Broker,6,1000.0,1000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,TSLA,7,2019-01-10 23:59:59.999989,334.4,345.39,331.79,344.97,6056400.0,0.0,344.970001,TestStrategy,7,737069.9999999999,Broker,7,1000.0,1000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,TSLA,8,2019-01-11 23:59:59.999989,342.09,348.41,338.77,347.26,5039100.0,0.0,347.26001,TestStrategy,8,737070.9999999999,Broker,8,1000.0,1000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,TSLA,9,2019-01-14 23:59:59.999989,342.38,342.5,334.0,334.4,5247300.0,0.0,334.399994,TestStrategy,9,737073.9999999999,Broker,9,1000.0,1000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,TSLA,10,2019-01-15 23:59:59.999989,335.0,348.8,334.5,344.43,6056600.0,0.0,344.429993,TestStrategy,10,737074.9999999999,Broker,10,1000.0,1000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,TSLA,11,2019-01-16 23:59:59.999989,344.78,352.0,343.5,346.05,4691700.0,0.0,346.049988,TestStrategy,11,737075.9999999999,Broker,11,1000.0,1000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,TSLA,12,2019-01-17 23:59:59.999989,346.21,351.5,344.15,347.31,3676700.0,0.0,347.309998,TestStrategy,12,737076.9999999999,Broker,12,1000.0,1000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,TSLA,13,2019-01-18 23:59:59.999989,323.0,327.13,299.73,302.26,24150800.0,0.0,302.26001,TestStrategy,13,737077.9999999999,Broker,13,1000.0,1000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,TSLA,14,2019-01-22 23:59:59.999989,304.82,308.0,295.5,298.92,12066700.0,0.0,298.920013,TestStrategy,14,737081.9999999999,Broker,14,1000.0,1000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,TSLA,15,2019-01-23 23:59:59.999989,292.5,294.5,281.69,287.59,12530000.0,0.0,287.589996,TestStrategy,15,737082.9999999999,Broker,15,1000.0,1000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,TSLA,16,2019-01-24 23:59:59.999989,283.03,293.68,279.28,291.51,8012200.0,0.0,291.51001,TestStrategy,16,737083.9999999999,Broker,16,1000.0,1000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,TSLA,17,2019-01-25 23:59:59.999989,294.39,298.52,289.55,297.04,7249600.0,0.0,297.040009,TestStrategy,17,737084.9999999999,Broker,17,1000.0,1000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,TSLA,18,2019-01-28 23:59:59.999989,292.91,297.46,287.75,296.38,6423300.0,0.0,296.380005,TestStrategy,18,737087.9999999999,Broker,18,1000.0,1000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
